Gewässer,Name allg. gebr.,Kategorie,Badestellenlänge,Kreis Name,Längengrad,Breitengrad,Mögliche Belastungen,Barrierefrei,Wlan,ÖPNV,Baden ohne Aufsicht,Baden m. zeitw. Aufsicht,Eintritt,Liegeplätze ohne Schatten,Liegeplätze mit Schatten,Toiletten,Dusche,Umkleiden,Parken ohne Gebühren,Parken mit Gebühren,Strandkorbverleih,Campingplatz,Spielplatz,Gaststätte,Kiosk,Rudern,Tretboot,Surfen,Segeln,FKK-Strand,Hundestrand,Grillplatz
DESH_PR_0063,Vollerwiek,Küstengewässer,250,Nordfriesland,8.781272631367802,54.2830268829881,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
DESH_PR_0064,Ladelund Badeanstalt,See,150,Nordfriesland,9.03506587848554,54.85189497529858,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0065,Badesee Niebüll Wehle,See,70,Nordfriesland,8.812922068190662,54.78707910266028,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0066,Treene Schwabstedt,Fließgewässer,80,Nordfriesland,9.187476987161796,54.3945473441629,Cyanobakterien (Blaualgen) und Zerkarien,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja
DESH_PR_0067,Treene Friedrichstadt,Fließgewässer,140,Nordfriesland,9.093875155730345,54.38125513584866,Cyanobakterien (Blaualgen) und Zerkarien,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0068,"Nordstrand, Holmersiel",Küstengewässer,500,Nordfriesland,8.874065750596895,54.53381573195423,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein
DESH_PR_0069,"Lüttmoorsiel, Reussenköge",Küstengewässer,320,Nordfriesland,8.87103695136256,54.56339512780572,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0070,"Sylt, List Weststrand",Küstengewässer,5700,Nordfriesland,8.374678967790091,55.02484247552577,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein
DESH_PR_0071,"Sylt, Kampen",Küstengewässer,2800,Nordfriesland,8.336544766271187,54.97025700663084,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0072,"Sylt, Wenningstedt",Küstengewässer,1350,Nordfriesland,8.314340877805847,54.93817698001737,Cyanobakterien (Blaualgen),Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0073,"Sylt, Westerland",Küstengewässer,5800,Nordfriesland,8.296650409240671,54.90600740978213,Cyanobakterien (Blaualgen),Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
DESH_PR_0074,"Sylt, Rantum",Küstengewässer,7000,Nordfriesland,8.285159139115924,54.83295609288864,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein
DESH_PR_0075,"Sylt, Hörnum Weststrand",Küstengewässer,4200,Nordfriesland,8.2815021255628,54.77036291935637,Cyanobakterien (Blaualgen),Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein
DESH_PR_0076,"Föhr, Wyk",Küstengewässer,3800,Nordfriesland,8.562659950161684,54.68101363752157,Cyanobakterien (Blaualgen),Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
DESH_PR_0077,"Pellworm, Süderkoog",Küstengewässer,700,Nordfriesland,8.669694421671293,54.49606346007214,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein
